key,value
Residence Home,6508
Highway/Alley/Street/Sidewalk,4154
Parking Garage/Lot,1287
Unknown,551
Hotel/Motel,323
Bar/Nightclub,270
Field/Woods,260
Convenience Store,221
Park/Playground,192
Gas Station,176
Restaurant,101
Commercial/Office Building,98
Specialty Store,65
Jail/Prison/Corrections Facility,47
Drug Store/Doctors Office/Hospital,38
Grocery Store,31
Lake/Waterway/Beach,30
Department/Discount Store,26
Government/Public Building,26
Air/Bus/Train Terminal,25
School Elementary/Secondary,25
Campground,23
Abandoned Condemned/Structure,19
Liquor Store,18
Church/Synagogue/Temple/Mosque,17
Gambling Facility/Casino/Race Track,17
Industrial Site,13
Shopping Mall,13
Mission/Homeless Shelter,11
Farm Facility,10
Tribal Lands,10
Construction Site,8
Bank,6
Daycare Facility,6
Auto Dealership,5
Rental Storage Facility,5
School/College,5
Arena/Stadium/Fairgrounds,4
Community Center,4
Rest Area,3
School College/University,2
Amusement Park,1
Dock/Wharf/Shipping Terminal,1
ATM Separate From Bank,0
Cyberspace,0
Military Base,0
