key,value
Aggravated Assault,1833
Weapon Law Violations,1536
Destruction/Damage/Vandalism of Property,483
Robbery,296
Drug/Narcotic Violations,285
Burglary/Breaking & Entering,107
Motor Vehicle Theft,98
Arson,97
Simple Assault,86
Kidnapping/Abduction,76
Drug Equipment Violations,69
All Other Larceny,53
Stolen Property Offenses,41
Intimidation,30
False Pretenses/Swindle/Confidence game,21
Animal Cruelty,9
Theft from Motor Vehicle,8
Counterfeiting/Forgery,6
Theft From Building,5
Impersonation,4
Sodomy,3
Credit Card/Automated Teller Machine Fraud,2
Pornography/Obscene Material,2
Fondling,1
Bribery,1
Pocket-Picking,1
Welfare Fraud,1
Shoplifting,1
Sexual Assault with an Object,1
Human Trafficking Commercial Sex Acts,1
Identity Theft,0
Murder and Nonnegligent Manslaughter,0
Extortion/Blackmail,0
Theft from Coin-operated Machine or Device,0
Statutory Rape,0
Gambling Equipment Violation,0
Incest,0
Operating/Promoting/Assisting Gambling,0
Hacking/Computer Invasion,0
Sports Tampering,0
Negligent Manslaughter,0
Wire Fraud,0
Theft of Motor Vehicle Parts or Accessories,0
Purse-snatching,0
Prostitution,0
Betting/Wagering,0
"Human Trafficking, Involuntary Servitude",0
Purchasing Prostitution,0
Assisting or Promoting Prostitution,0
Embezzlement,0
