key,value
Handgun,5344
Firearm,4180
Knife/Cutting Instrument,1019
Unknown,587
Personal Weapons,506
Rifle,410
Other Firearm,268
Blunt Object,265
Other,220
Handgun (Automatic),205
Shotgun,152
Firearm (Automatic),124
Drugs/Narcotics/Sleeping Pills,118
Asphyxiation,74
Fire/Incendiary Device,71
Rifle (Automatic),37
Other Firearm (Automatic),6
Poison,6
Shotgun (Automatic),1
None,0
Pushed or Thrown Out Window,0
Drowning,0
Strangulation - Include Hanging,0
Unarmed,0
Lethal Cutting Instrument,0
Club/Blackjack/Brass Knuckles,0
Motor Vehicle,0
Explosives,0
