data_year,State,Total_Shootings
1991,AL,9688
1991,IL,6
1991,ND,22
1991,SC,11434
1992,AL,8553
1992,CO,83
1992,IA,983
1992,ID,590
1992,IL,3
1992,ND,21
1992,SC,12587
1993,CO,92
1993,IA,1589
1993,ID,1133
1993,IL,6978
1993,ND,34
1993,SC,10784
1993,UT,193
1993,VT,0
1994,CO,37
1994,IA,1608
1994,ID,1579
1994,IL,6255
1994,MA,0
1994,MN,0
1994,ND,29
1994,SC,10751
1994,UT,665
1994,VA,882
1994,VT,49
1995,IA,1855
1995,ID,1786
1995,IL,4
1995,MA,635
1995,MI,2188
1995,ND,47
1995,SC,7992
1995,UT,757
1995,VA,1002
1995,VT,60
1996,IA,1406
1996,ID,1301
1996,IL,4
1996,MA,997
1996,MI,3462
1996,MN,0
1996,ND,51
1996,SC,9986
1996,UT,755
1996,VA,1616
1996,VT,42
1997,CO,2289
1997,IA,1437
1997,ID,1350
1997,IL,3
1997,MA,1142
1997,MI,4559
1997,ND,46
1997,SC,10109
1997,TN,166
1997,TX,521
1997,UT,1044
1997,VA,2897
1997,VT,30
1998,CO,2841
1998,CT,23
1998,IA,1413
1998,ID,1344
1998,IL,0
1998,KY,34
1998,MA,1082
1998,MI,5758
1998,MN,0
1998,ND,46
1998,NE,127
1998,OH,614
1998,SC,9338
1998,TN,1989
1998,TX,1414
1998,UT,1218
1998,VA,3978
1998,VT,75
1998,WV,207
1999,AR,1
1999,CO,2550
1999,CT,174
1999,IA,1197
1999,ID,995
1999,IL,3
1999,KY,52
1999,MA,1147
1999,MI,5238
1999,MN,0
1999,ND,64
1999,NE,99
1999,OH,916
1999,SC,9008
1999,TN,4618
1999,TX,1402
1999,UT,1154
1999,VA,7191
1999,VT,83
1999,WV,1544
2000,AR,20
2000,CO,2342
2000,CT,973
2000,IA,1209
2000,ID,1168
2000,IL,2
2000,KS,1152
2000,KY,108
2000,MA,1314
2000,MI,6943
2000,MN,0
2000,ND,77
2000,NE,91
2000,OH,1056
2000,SC,9330
2000,SD,35
2000,TN,12354
2000,TX,1513
2000,UT,1094
2000,VA,11455
2000,VT,92
2000,WV,1644
2001,AR,128
2001,CO,2279
2001,CT,1997
2001,DE,1891
2001,IA,1302
2001,ID,1219
2001,IL,0
2001,KS,1054
2001,KY,131
2001,MA,1868
2001,MI,7258
2001,MN,0
2001,ND,93
2001,NE,76
2001,OH,1877
2001,SC,8737
2001,SD,59
2001,TN,18135
2001,TX,2232
2001,UT,1429
2001,VA,11554
2001,VT,84
2001,WV,1431
2002,AR,136
2002,CO,2587
2002,CT,1657
2002,DE,2156
2002,IA,1317
2002,ID,1223
2002,IL,9
2002,KS,1136
2002,KY,169
2002,MA,1833
2002,MI,7355
2002,MN,0
2002,ND,70
2002,NE,191
2002,NH,19
2002,OH,2690
2002,SC,10066
2002,SD,74
2002,TN,17840
2002,TX,2587
2002,UT,1791
2002,VA,12035
2002,VT,96
2002,WV,1534
2003,AR,888
2003,CO,2644
2003,CT,1964
2003,DE,2226
2003,IA,1188
2003,ID,1108
2003,IL,3
2003,KS,1864
2003,KY,201
2003,LA,221
2003,MA,2687
2003,ME,0
2003,MI,7131
2003,MN,0
2003,ND,72
2003,NE,167
2003,NH,232
2003,OH,3140
2003,OR,49
2003,SC,10261
2003,SD,124
2003,TN,17542
2003,TX,2202
2003,UT,1849
2003,VA,12513
2003,VT,90
2003,WV,1384
2004,AR,1901
2004,AZ,78
2004,CO,2954
2004,CT,1534
2004,DE,2196
2004,GA,69
2004,IA,1292
2004,ID,1207
2004,IL,1
2004,KS,2126
2004,KY,161
2004,LA,495
2004,MA,2906
2004,ME,7
2004,MI,8524
2004,MN,0
2004,ND,128
2004,NE,201
2004,NH,307
2004,OH,8588
2004,OR,439
2004,RI,44
2004,SC,10684
2004,SD,77
2004,TN,16711
2004,TX,2160
2004,UT,1708
2004,VA,12554
2004,VT,100
2004,WI,4
2004,WV,1803
2005,AR,2350
2005,AZ,125
2005,CO,5309
2005,CT,1220
2005,DE,2441
2005,GA,67
2005,IA,1292
2005,ID,1165
2005,IL,0
2005,KS,2225
2005,KY,160
2005,LA,709
2005,MA,3078
2005,ME,26
2005,MI,19322
2005,MN,0
2005,MT,375
2005,ND,150
2005,NE,197
2005,NH,308
2005,OH,10025
2005,OR,694
2005,RI,353
2005,SC,11604
2005,SD,65
2005,TN,18783
2005,TX,2839
2005,UT,1608
2005,VA,14399
2005,VT,120
2005,WA,0
2005,WI,3709
2005,WV,1713
2006,AL,111
2006,AR,2629
2006,AZ,105
2006,CO,5155
2006,CT,866
2006,DE,2918
2006,GA,81
2006,IA,1339
2006,ID,1179
2006,IL,913
2006,KS,2516
2006,KY,171
2006,LA,688
2006,MA,3212
2006,ME,31
2006,MI,20980
2006,MN,0
2006,MO,3
2006,MT,378
2006,ND,145
2006,NE,201
2006,NH,316
2006,OH,11455
