latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2023-07-27', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2565,Senate,A bill to remove linguistic barriers to participation in Gun Violence Prevention Strategies.,S,2023-07-28,2023-07-28T20:17:38Z
"{'actionDate': '2023-07-27', 'text': 'Referred to the House Committee on Energy and Commerce.'}",5010,House,"To require the Secretary of Health and Human Services, in coordination with the Director of the Centers for Disease Control and Prevention, to submit to the Congress an annual report on the effects of gun violence on public health.",HR,2023-08-05,2023-08-05T07:15:37Z
"{'actionDate': '2023-07-20', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",4780,House,Language Access to Gun Violence Prevention Strategies Act of 2023,HR,2023-08-09,2023-08-09T17:30:28Z
"{'actionDate': '2023-07-17', 'text': 'Referred to the House Committee on the Judiciary.'}",4679,House,Ghost Guns and Untraceable Firearms Act of 2023,HR,2023-08-09,2023-08-09T11:45:24Z
"{'actionDate': '2023-07-13', 'text': 'Referred to the House Committee on Oversight and Accountability.'}",591,House,"Condemning the horrific gun violence in Fort Worth, Texas, and acknowledging the human toll of gun violence in this country.",HRES,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-06-30', 'text': 'Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",4436,House,Why Does the IRS Need Guns Act,HR,2023-08-07,2023-08-07T15:30:28Z
"{'actionDate': '2023-06-23', 'text': 'Referred to the Subcommittee on Innovation, Data, and Commerce.'}",4283,House,Gun Violence Prevention and Safe Communities Act of 2023,HR,2023-08-07,2023-08-07T14:45:23Z
"{'actionDate': '2023-06-21', 'text': 'Referred to the House Committee on Energy and Commerce.'}",530,House,"Expressing support for the designation of June 21, 2023, as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home.",HRES,2023-07-28,2023-07-28T20:05:15Z
"{'actionDate': '2023-06-20', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2048,Senate,Equal Access to Justice for Victims of Gun Violence Act,S,2023-07-28,2023-07-28T20:16:51Z
"{'actionDate': '2023-06-15', 'text': 'Referred to the House Committee on Financial Services.'}",4158,House,Gun Violence Prevention Through Financial Intelligence Act,HR,2023-07-28,2023-07-28T20:12:02Z
"{'actionDate': '2023-06-15', 'text': 'Referred to the House Committee on the Judiciary.'}",4184,House,Equal Access to Justice for Victims of Gun Violence Act of 2023,HR,2023-08-09,2023-08-09T07:15:29Z
"{'actionDate': '2023-06-14', 'text': 'Sponsor introductory remarks on measure. (CR H2893-2894)'}",3962,House,Resources for Victims of Gun Violence Act of 2023,HR,2023-07-28,2023-07-28T19:44:18Z
"{'actionDate': '2023-06-13', 'text': 'Read twice and referred to the Committee on Finance.'}",1949,Senate,Why Does the IRS Need Guns Act,S,2023-08-07,2023-08-07T15:30:29Z
