Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1289686,31-Dec-18,Ohio,Cleveland,4462 Denison Ave,3,2,0,0,0,N/A
1288376,29-Dec-18,Ohio,Lima,904 S Main St,1,3,0,0,1,N/A
1287286,28-Dec-18,Missouri,Saint Charles,150 Whetstone Dr,4,0,0,1,1,N/A
1284586,24-Dec-18,Louisiana,Lutcher,2176 Main St,2,2,0,0,2,N/A
1283229,23-Dec-18,Missouri,Springfield,1042 W College St,1,6,0,0,1,N/A
1282704,22-Dec-18,Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,0,0,0,N/A
1279617,18-Dec-18,Maryland,Baltimore,3942 Park Heights Ave,0,4,0,1,1,N/A
1277327,15-Dec-18,Florida,Miami,239 NW 16th St,0,5,0,0,0,N/A
1277411,14-Dec-18,Colorado,Colorado Springs,700 block of Geiger Ct,1,3,0,0,2,N/A
1276091,13-Dec-18,Pennsylvania,Philadelphia,4505 N Broad St,0,4,0,0,0,N/A
1276298,11-Dec-18,Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,0,0,0,N/A
1272855,9-Dec-18,Wisconsin,Madison,3554 E Washington Ave,0,4,0,0,2,N/A
1273161,8-Dec-18,California,Inglewood,801 S Inglewood Ave,0,5,0,0,0,N/A
1272106,8-Dec-18,New York,Corona (Queens),89-25 130th St,0,5,0,0,1,N/A
1267682,1-Dec-18,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,0,0,0,N/A
1266937,26-Nov-18,Tennessee,Powell,Tammy Dr,0,4,0,0,2,N/A
1262814,25-Nov-18,Alabama,Demopolis,Floyd St and Field St,2,2,0,0,0,N/A
1263332,25-Nov-18,California,Oakland,1000 block of 24th St,0,4,0,0,0,N/A
1263086,25-Nov-18,Texas,Houston,4500 block of Yale St,1,3,0,0,0,N/A
1262013,23-Nov-18,Florida,Miami,5801 NW 27th Ave,2,5,0,0,0,N/A
1261351,22-Nov-18,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,0,0,2,N/A
1260525,21-Nov-18,Missouri,Saint Louis,4200 block of Shreve Ave,0,4,0,0,0,N/A
1258777,19-Nov-18,Colorado,Denver,1200 21st Street,1,3,0,1,2,N/A
1258804,19-Nov-18,Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,0,0,4,N/A
1258009,18-Nov-18,California,Los Angeles (Watts),95th St and Defiance Ave,1,3,0,1,0,N/A
1257508,16-Nov-18,Arkansas,Little Rock,4405 W 14th St,3,1,0,0,1,N/A
1256435,14-Nov-18,Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,0,0,0,N/A
1254225,13-Nov-18,New Mexico,Gallup,CR 1 and Defiance Draw Rd,3,1,1,0,0,N/A
1254084,12-Nov-18,North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,0,0,1,N/A
1253361,11-Nov-18,Arizona,Globe,598 N Broad St,3,1,0,0,1,N/A
1249561,7-Nov-18,California,Thousand Oaks,99 Rolling Oaks Dr,12,2,1,0,0,N/A
1246727,3-Nov-18,New York,Watertown,136 Franklin St,0,5,0,0,1,N/A
1247019,2-Nov-18,California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,0,0,0,N/A
1246489,2-Nov-18,Florida,Tallahassee,1950 Thomasville Rd,2,4,1,0,0,N/A
