Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
271363,29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0
269679,27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0
270036,27-Dec-14,California,Sacramento,4000 block of May Street,0,4,0,0,0
269167,26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0
268598,24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3,0,0,0
267792,23-Dec-14,Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2
268282,22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3,0,0,0
282186,22-Dec-14,New York,Webster,191 Lake Rd,3,2,1,0,0
267721,22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0
266570,21-Dec-14,Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0
268910,21-Dec-14,Mississippi,Waynesboro,Central Avenue,1,4,0,0,2
266424,21-Dec-14,Illinois,Calumet City,600 block of Escanba,1,8,0,0,0
266407,20-Dec-14,Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1
264901,16-Dec-14,New Jersey,Elizabeth,Anna Street,0,4,0,0,0
263556,15-Dec-14,Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0
263376,14-Dec-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0
263382,13-Dec-14,Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0
262202,12-Dec-14,Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3
259935,7-Dec-14,Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0
227011,2-Dec-14,Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0
226983,2-Dec-14,Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0
226534,30-Nov-14,Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0
226388,30-Nov-14,New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0
226150,29-Nov-14,New Jersey,Newark,348 S Orange Ave,1,3,0,0,0
225903,29-Nov-14,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0
225830,28-Nov-14,Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0
226018,27-Nov-14,Texas,Georgetown,Pvt Rd 934,2,3,0,0,0
225036,26-Nov-14,California,San Francisco,Mission and 13th streets,0,6,0,0,0
224362,23-Nov-14,Virginia,Parksley,Parksley Road,0,4,0,0,0
224131,23-Nov-14,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0
223651,22-Nov-14,Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1
223799,22-Nov-14,South Dakota,Sisseton,Fourth Avenue,3,1,1,0,0
223729,22-Nov-14,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,0,0,0
223582,21-Nov-14,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0
222792,19-Nov-14,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,0,0,0
222393,18-Nov-14,Nevada,North Las Vegas,Englestad Street,0,4,0,0,0
221554,16-Nov-14,Ohio,Akron,1891 E Market St,1,4,0,0,1
224746,16-Nov-14,Texas,El Paso,115 S. Durango,0,5,0,1,0
221347,15-Nov-14,Missouri,Springfield,2555 N. Glenstone,4,0,0,0,1
221577,15-Nov-14,Florida,Miami,NW 55th and 12th,1,3,0,0,0
217831,8-Nov-14,California,Pomona,499 E. Arrow Highway,0,5,0,0,0
218054,7-Nov-14,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0
217401,7-Nov-14,California,Compton,136th Street ,0,4,0,0,0
216533,5-Nov-14,California,San Francisco,1100 block of Alabama Street ,0,4,0,0,0
212884,29-Oct-14,Tennessee,Memphis,Yale Road and Ramill Road,0,5,0,0,0
211348,26-Oct-14,Kentucky,Cadiz,1410 Old Dover Road,4,0,0,0,1
210363,24-Oct-14,Washington,Marysville,5611 108th St NE,4,1,1,0,0
209134,18-Oct-14,New York,Queens,33-02 Queens Blvd,0,4,0,0,1
207145,18-Oct-14,South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0
207687,18-Oct-14,New York,Brooklyn,Lenox Road,0,4,0,0,0
206303,16-Oct-14,Michigan,Detroit,Mogul Street,1,3,0,0,1
205726,14-Oct-14,Georgia,Peachtree Corners,6505 Bannor Lane,2,2,1,0,0
205298,13-Oct-14,Georgia,Atlanta,85 Mount Zion Road,0,4,0,0,0
204310,12-Oct-14,California,Stockton,1100 block of East March Lane,3,1,0,0,0
204477,12-Oct-14,Georgia,Atlanta,Arthur Langford Jr Place,1,3,0,0,0
204236,11-Oct-14,New York,Utica,222 Bleecker Street,0,4,0,1,1
202981,8-Oct-14,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,0,0,0
204254,8-Oct-14,New York,Guilderland,1846 Western Ave,4,0,0,0,0
201052,5-Oct-14,Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,0,0,0
201630,5-Oct-14,Florida,Jacksonville,7300 block of Linda Drive,3,1,0,0,0
201648,4-Oct-14,Tennessee,Memphis,1400 block of Gherald Street,2,2,0,0,0
201502,4-Oct-14,California,Pomona,1925 West Holt Avenue ,0,4,0,0,0
198051,29-Sep-14,South Carolina,Walterboro,29 Sandy Dam Lane,1,6,0,1,2
198527,29-Sep-14,California,Fresno,2300 block of West Fountain Way ,0,4,0,0,0
197416,28-Sep-14,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,0,0,0
197384,28-Sep-14,Florida,Miami,NW 7th Ave and NW 64th St,0,15,0,0,0
197287,27-Sep-14,Missouri,Saint Louis,2000 block East John Avenue,0,5,0,0,0
198064,26-Sep-14,South Carolina,Florence,650 Turner Rd,1,4,0,0,2
