,cycle,branch,type,matchup,forecastdate,state,startdate,enddate,samplesize,population,poll_wt,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,poll_id
0,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/25/2016,10/31/2016,24316.0,likely voters,6.139129,42.6414,40.86509,5.675099,0.0,0.0,47940
1,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/27/2016,10/30/2016,1128.0,likely voters,4.197292,43.29659,44.72984,3.401513,0.0,0.0,47881
2,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/27/2016,10/30/2016,1024.0,likely voters,3.876856,46.29779,40.72604,6.401513,0.0,0.0,47880
3,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/20/2016,10/24/2016,1251.0,likely voters,3.403096,46.35931,45.30585,1.77773,0.0,0.0,47465
4,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/25/2016,2120.0,registered voters,3.394646,45.32744,42.20888,3.61832,0.0,0.0,47616
5,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/25/2016,1221.0,likely voters,3.346535,44.6508,42.26663,6.114222,0.0,0.0,47542
6,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/26/2016,10/31/2016,1018.0,likely voters,3.275062,46.21834,43.56017,3.15359,0.0,0.0,47875
7,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/25/2016,10/30/2016,3217.0,registered voters,3.21775,46.89049,43.50333,3.466432,0.0,0.0,47867
8,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/23/2016,10/27/2016,1158.0,likely voters,3.144926,41.22576,37.24948,6.420006,0.0,0.0,47643
9,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/29/2016,10/31/2016,2600.0,likely voters,3.044326,42.21983,41.6954,4.220173,0.0,0.0,47995
10,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/25/2016,10/31/2016,3145.0,likely voters,2.956711,44.53217,43.84845,0.0,0.0,0.0,47874
11,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/27/2016,815.0,likely voters,2.755075,41.81832,47.92262,2.676897,0.0,0.0,47771
12,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,California,10/14/2016,10/23/2016,1024.0,likely voters,2.739877,55.68839,29.50605,3.17051,0.0,0.0,47545
13,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/29/2016,10/30/2016,1772.0,likely voters,2.729417,43.31551,40.34972,5.823322,0.0,0.0,47786
14,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/25/2016,10/26/2016,780.0,likely voters,2.727504,45.20793,42.01937,6.499082,0.0,0.0,47775
15,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,779.0,likely voters,2.72452,43.19458,45.07725,3.499082,0.0,0.0,47776
16,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/24/2016,1212.0,likely voters,2.714895,50.18283,39.33826,5.044833,0.0,0.0,47538
17,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/21/2016,10/24/2016,805.0,likely voters,2.694791,42.67789,46.11255,3.054228,0.0,0.0,47469
18,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/26/2016,10/28/2016,1091.0,likely voters,2.61956,47.77047,39.80679,6.359501,0.0,0.0,47777
19,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/23/2016,10/25/2016,824.0,likely voters,2.584576,45.74354,41.34735,4.421316,0.0,0.0,47551
20,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/14/2016,10/17/2016,1000.0,likely voters,2.538795,46.84417,39.99571,6.27284,0.0,0.0,47060
21,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/27/2016,10/28/2016,1698.0,likely voters,2.502021,38.51061,50.7572,0.0,0.0,0.0,47860
22,2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/26/2016,10/28/2016,997.0,likely voters,2.487104,41.75385,38.87231,8.359501,0.0,0.0,47780
