poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,imputed_sample_size,politician_id,politician,favorable,unfavorable,alternate_answers,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178640,1500,a,,a,,8/9/2023 9:56,,https://docs.cdn.yougov.com/m1aanznso5/econtoplines.pdf,,FALSE,,1500,11,Donald Trump,41,56,3,21,20,12,44
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178641,1178,rv,,rv,,8/9/2023 9:56,,https://docs.cdn.yougov.com/gr0zwln1rr/econTabReport.pdf,,FALSE,,1178,11,Donald Trump,41,58,1,23,18,11,47
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178646,1500,a,,a,,8/9/2023 9:56,,https://docs.cdn.yougov.com/m1aanznso5/econtoplines.pdf,,FALSE,,1500,42,Joe Biden,44,53,3,20,24,13,40
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178647,1178,rv,,rv,,8/9/2023 9:56,,https://docs.cdn.yougov.com/gr0zwln1rr/econTabReport.pdf,,FALSE,,1178,42,Joe Biden,45,53,1,23,22,11,42
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178652,1500,a,,a,,8/9/2023 9:56,,https://docs.cdn.yougov.com/m1aanznso5/econtoplines.pdf,,FALSE,,1500,25,Mike Pence,27,58,15,6,21,27,31
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178653,1178,rv,,rv,,8/9/2023 9:56,,https://docs.cdn.yougov.com/gr0zwln1rr/econTabReport.pdf,,FALSE,,1178,25,Mike Pence,29,63,7,6,23,28,35
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178655,1500,a,,a,,8/9/2023 9:56,,https://docs.cdn.yougov.com/m1aanznso5/econtoplines.pdf,,FALSE,,1500,3084,Ron DeSantis,37,45,18,13,24,10,35
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/2023,8/8/2023,,,,178656,1178,rv,,rv,,8/9/2023 9:56,,https://docs.cdn.yougov.com/gr0zwln1rr/econTabReport.pdf,,FALSE,,1178,3084,Ron DeSantis,41,49,10,16,25,10,39
83346,241,Ipsos,379,ABC News,Ipsos,154,Ipsos,B-,Probability Panel,,8/2/2023,8/3/2023,,,,178438,1076,a,,a,,8/4/2023 8:44,,https://www.ipsos.com/en-us/abc-news-trump-indictment-january-6,,FALSE,,1076,11,Donald Trump,30,59,11,,,,
83346,241,Ipsos,379,ABC News,Ipsos,154,Ipsos,B-,Probability Panel,,8/2/2023,8/3/2023,,,,178439,1076,a,,a,,8/4/2023 8:44,,https://www.ipsos.com/en-us/abc-news-trump-indictment-january-6,,FALSE,,1076,42,Joe Biden,33,52,14,,,,
83379,1347,Cygnal Political,,,Cygnal,67,Cygnal,A,,,8/1/2023,8/3/2023,,,,178683,2000,lv,,lv,,8/10/2023 9:58,,https://www.cygn.al/new-monthly-national-poll-majority-support-abortion-ban-vivek-rises-biden-corruption-probe-gains-steam-half-believe-government-lied-about-ufos-and-more/,,FALSE,,2000,42,Joe Biden,45.9,51.3,2.8,25.3,20.7,12.4,38.9
83379,1347,Cygnal Political,,,Cygnal,67,Cygnal,A,,,8/1/2023,8/3/2023,,,,178684,2000,lv,,lv,,8/10/2023 9:58,,https://www.cygn.al/new-monthly-national-poll-majority-support-abortion-ban-vivek-rises-biden-corruption-probe-gains-steam-half-believe-government-lied-about-ufos-and-more/,,FALSE,,2000,11,Donald Trump,45.4,51.6,2.9,28.6,16.8,9.5,42.1
83331,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/29/2023,8/1/2023,,,,178359,1500,a,,a,,8/2/2023 10:18,,https://docs.cdn.yougov.com/m6zgcvnfe7/econtoplines.pdf,,FALSE,,1500,11,Donald Trump,41,56,4,22,19,11,45
