question_id,start_date,end_date,pollster_id,pollster,sponsors,sample_size,population,methodology,url,politician,favorable,unfavorable,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
114577,12/7/2019,12/10/2019,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Michael F. Bennet,14,29,4,10,12,17
114585,12/7/2019,12/10/2019,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Michael Bloomberg,24,58,7,17,20,38
114589,12/7/2019,12/10/2019,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Cory A. Booker,35,45,11,24,12,33
114593,12/7/2019,12/10/2019,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Steve Bullock,14,27,3,11,11,16
114597,12/7/2019,12/10/2019,568,YouGov,Economist,1202,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Pete Buttigieg,35,44,14,21,13,31
114601,12/7/2019,12/10/2019,568,YouGov,Economist,1197,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Julián Castro,28,45,6,22,15,30
114605,12/7/2019,12/10/2019,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,John K. Delaney,11,31,3,8,13,18
114609,12/7/2019,12/10/2019,568,YouGov,Economist,1202,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Tulsi Gabbard,25,45,6,19,21,24
114613,12/7/2019,12/10/2019,568,YouGov,Economist,1202,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Amy Klobuchar,29,40,8,21,14,26
114617,12/7/2019,12/10/2019,568,YouGov,Economist,1197,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Deval Patrick,14,31,4,10,11,20
114625,12/7/2019,12/10/2019,568,YouGov,Economist,1196,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Tom Steyer,19,41,5,14,14,27
114633,12/7/2019,12/10/2019,568,YouGov,Economist,1195,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Marianne Williamson,14,42,3,11,19,23
114637,12/7/2019,12/10/2019,568,YouGov,Economist,1198,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Andrew Yang,32,41,8,24,17,24
114621,12/7/2019,12/10/2019,568,YouGov,Economist,1201,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Bernard Sanders,42,51,20,22,12,39
114629,12/7/2019,12/10/2019,568,YouGov,Economist,1204,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Elizabeth Warren,41,49,22,19,10,39
114581,12/7/2019,12/10/2019,568,YouGov,Economist,1204,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Joseph R. Biden Jr.,42,52,20,22,14,38
114836,12/7/2019,12/10/2019,568,YouGov,Economist,1203,rv,Online,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf,Donald Trump,45,54,12,6,48,
114530,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Pete Buttigieg,31,29,,,,
114532,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Amy Klobuchar,24,23,,,,
114534,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Michael Bloomberg,21,40,,,,
114526,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Bernard Sanders,44,48,,,,
114524,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Joseph R. Biden Jr.,44,47,,,,
114528,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Elizabeth Warren,38,45,,,,
114733,12/4/2019,12/9/2019,396,Quinnipiac University,,1553,rv,Live Phone,https://poll.qu.edu/national/release-detail?ReleaseID=3651,Donald Trump,40,57,,,,
