question_id,end_date,pollster,sample_size,population,politician,favorable,unfavorable,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable,results
114581,2019-12-10,YouGov,1204,rv,Joseph R. Biden Jr.,42.0,52.0,20.0,22.0,14.0,38.0,1
114524,2019-12-09,Quinnipiac University,1553,rv,Joseph R. Biden Jr.,44.0,47.0,0.0,0.0,0.0,0.0,1
114382,2019-12-08,Monmouth University,838,rv,Joseph R. Biden Jr.,43.0,50.0,18.0,25.0,16.0,34.0,1
114188,2019-12-03,YouGov,1198,rv,Joseph R. Biden Jr.,42.0,51.0,20.0,22.0,14.0,37.0,1
114336,2019-11-29,Harris Poll,1859,rv,Joseph R. Biden Jr.,44.0,44.0,15.0,29.0,19.0,25.0,1
114034,2019-11-26,YouGov,1187,rv,Joseph R. Biden Jr.,43.0,51.0,20.0,23.0,16.0,35.0,1
113267,2019-11-19,YouGov,1218,rv,Joseph R. Biden Jr.,44.0,49.0,20.0,24.0,15.0,34.0,1
112946,2019-11-12,YouGov,1196,rv,Joseph R. Biden Jr.,41.0,51.0,18.0,23.0,14.0,37.0,1
112759,2019-11-05,YouGov,1190,rv,Joseph R. Biden Jr.,44.0,50.0,21.0,23.0,15.0,35.0,1
112826,2019-11-03,Monmouth University,835,rv,Joseph R. Biden Jr.,43.0,50.0,18.0,25.0,17.0,33.0,1
112561,2019-10-31,Harris Poll,1810,rv,Joseph R. Biden Jr.,48.0,42.0,16.0,32.0,17.0,25.0,1
112455,2019-10-29,YouGov,1267,rv,Joseph R. Biden Jr.,44.0,48.0,20.0,24.0,15.0,33.0,1
111351,2019-10-22,YouGov,1203,rv,Joseph R. Biden Jr.,42.0,51.0,20.0,22.0,16.0,35.0,1
111172,2019-10-20,CNN/SSRS,892,rv,Joseph R. Biden Jr.,47.0,45.0,0.0,0.0,0.0,0.0,1
112295,2019-10-18,HarrisX,1002,rv,Joseph R. Biden Jr.,47.0,42.0,20.0,27.0,16.0,26.0,1
111819,2019-10-17,HarrisX,1000,rv,Joseph R. Biden Jr.,48.0,40.0,23.0,25.0,14.0,26.0,1
104558,2019-10-15,YouGov,1129,rv,Joseph R. Biden Jr.,47.0,48.0,22.0,25.0,15.0,33.0,1
104403,2019-10-13,HarrisX,1000,rv,Joseph R. Biden Jr.,47.0,36.0,20.0,27.0,13.0,23.0,1
104355,2019-10-13,Quinnipiac University,1195,rv,Joseph R. Biden Jr.,41.0,43.0,0.0,0.0,0.0,0.0,1
104236,2019-10-08,Fox News,1003,rv,Joseph R. Biden Jr.,50.0,44.0,21.0,28.0,16.0,28.0,1
104208,2019-10-08,Marist College,926,rv,Joseph R. Biden Jr.,42.0,45.0,0.0,0.0,0.0,0.0,1
103994,2019-10-08,YouGov,1235,rv,Joseph R. Biden Jr.,42.0,53.0,19.0,23.0,19.0,34.0,1
103603,2019-10-01,YouGov,1078,rv,Joseph R. Biden Jr.,42.0,51.0,19.0,23.0,17.0,34.0,1
103533,2019-09-30,Morning Consult,2488,rv,Joseph R. Biden Jr.,46.0,42.0,19.0,27.0,13.0,29.0,1
104479,2019-09-30,YouGov,1196,rv,Joseph R. Biden Jr.,42.2,49.4,18.4,23.8,15.7,33.7,1
103684,2019-09-29,Monmouth University,1017,rv,Joseph R. Biden Jr.,46.0,45.0,20.0,26.0,18.0,27.0,1
103429,2019-09-24,Harris Poll,2009,rv,Joseph R. Biden Jr.,48.0,42.0,15.0,32.0,20.0,22.0,1
103293,2019-09-24,YouGov,1193,rv,Joseph R. Biden Jr.,45.0,46.0,22.0,23.0,14.0,32.0,1
103200,2019-09-23,Quinnipiac University,1337,rv,Joseph R. Biden Jr.,45.0,45.0,0.0,0.0,0.0,0.0,1
102839,2019-09-17,YouGov,1173,rv,Joseph R. Biden Jr.,44.0,49.0,20.0,24.0,18.0,31.0,1
102725,2019-09-16,HarrisX,2001,rv,Joseph R. Biden Jr.,51.0,37.0,22.0,29.0,16.0,21.0,1
102630,2019-09-11,HarrisX,1000,rv,Joseph R. Biden Jr.,47.0,38.0,23.0,24.0,14.0,24.0,1
102467,2019-09-10,YouGov,1179,rv,Joseph R. Biden Jr.,44.0,49.0,20.0,24.0,19.0,30.0,1
102408,2019-09-08,Marist College,1160,rv,Joseph R. Biden Jr.,45.0,46.0,0.0,0.0,0.0,0.0,1
102436,2019-09-05,ABC News/Washington Post,877,rv,Joseph R. Biden Jr.,53.0,40.0,24.0,30.0,16.0,23.0,1
102150,2019-09-03,YouGov,1064,rv,Joseph R. Biden Jr.,42.0,51.0,19.0,23.0,16.0,35.0,1
102099,2019-08-28,Harris Poll,2531,rv,Joseph R. Biden Jr.,48.0,40.0,17.0,31.0,19.0,21.0,1
101953,2019-08-27,YouGov,1083,rv,Joseph R. Biden Jr.,46.0,46.0,21.0,25.0,16.0,30.0,1
100890,2019-08-20,YouGov,1100,rv,Joseph R. Biden Jr.,42.0,50.0,18.0,24.0,17.0,33.0,1
100652,2019-08-15,HarrisX,1000,rv,Joseph R. Biden Jr.,47.0,40.0,21.0,26.0,16.0,24.0,1
100644,2019-08-13,Fox News,1013,rv,Joseph R. Biden Jr.,50.0,42.0,23.0,27.0,15.0,26.0,1
100494,2019-08-13,YouGov,1124,rv,Joseph R. Biden Jr.,42.0,51.0,18.0,24.0,19.0,32.0,1
100220,2019-08-06,YouGov,1156,rv,Joseph R. Biden Jr.,44.0,45.0,20.0,24.0,17.0,28.0,1
100114,2019-08-01,Harris Poll,2214,rv,Joseph R. Biden Jr.,48.0,39.0,18.0,30.0,20.0,19.0,1
99958,2019-07-30,YouGov,1100,rv,Joseph R. Biden Jr.,48.0,46.0,21.0,27.0,16.0,30.0,1
99889,2019-07-29,HarrisX,1001,rv,Joseph R. Biden Jr.,50.0,38.0,24.0,26.0,14.0,24.0,1
